Carrefour,Vino tinto Finca magnolia malbec 750 cc.,($650.67 x 1 L.)
Carrefour,Vino tinto malbec Latitud 33 750 cc.,($653.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Latitud 33 750 cc.,($653.33 x 1 L.)
Carrefour,Vino tinto merlot Latitud 33 750 cc.,($653.33 x 1 L.)
Carrefour,Vino tinto tempranillo Latitud 33 750 cc.,($653.33 x 1 L.)
Carrefour,Vino tinto Desigual cabernet franc 750 cc.,($660.00 x 1 L.)
Carrefour,Vino tinto malbec Portillo 1.5 l.,($661.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Sade 750 cc.,($662.93 x 1 L.)
Carrefour,Vino tinto malbec Sade 750 cc.,($662.93 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Portillo 750 cc.,($672.00 x 1 L.)
Carrefour,Vino tinto pinot noir Portillo 750 cc.,($672.00 x 1 L.)
Carrefour,Vino tinto tempranillo Portillo 750 cc.,($672.00 x 1 L.)
Carrefour,Vino tinto cabernet reserva San Huberto clásico 750 cc.,($673.33 x 1 L.)
Carrefour,Vino tinto malbec Elementos 750 cc.,($676.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Elementos 750 cc.,($676.00 x 1 L.)
Carrefour,Vino tinto syrah Elementos 750 cc.,($676.00 x 1 L.)
Carrefour,Vino tinto malbec Fran 750 cc.,($676.67 x 1 L.)
Carrefour,Vino tinto malbec Terra 750 cc.,($677.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Serie Terra 750 cc.,($677.33 x 1 L.)
Carrefour,Vino tinto malbec Los Haroldos Estate 750 cc.,($682.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Los Haroldos Estate 750 cc.,($682.00 x 1 L.)
Carrefour,Vino tinto Lopez cabernet 750 cc.,($686.67 x 1 L.)
Carrefour,Vino tinto Norton cosecha tardia 750 cc.,($699.33 x 1 L.)
Carrefour,Vino tinto malbec Finca Los Primos 750 cc.,($699.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Fina Los Primos 750 cc.,($699.33 x 1 L.)
Carrefour,Vino tinto syrah Bravio 750 cc.,($705.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Bravío 750 cc.,($705.33 x 1 L.)
Carrefour,Vino tinto malbec Dadá 750 cc.,($710.67 x 1 L.)
Carrefour,Vino tinto Dadá 8 chocolate 750 cc.,($710.67 x 1 L.)
Carrefour,Vino tinto malbec-bonarda Dadá n°1 750 cc.,($710.67 x 1 L.)
Carrefour,Vino tinto merlot Dadá 2 750 cc.,($710.67 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Dadá 750 cc.,($710.67 x 1 L.)
Carrefour,Vino tinto syrah cabernet Dadá 3 750 cc.,($710.67 x 1 L.)
Carrefour,Vino tinto Traful malbec 750 cc.,($721.33 x 1 L.)
Carrefour,Vino tinto Traful malbec 750 cc.,($721.33 x 1 L.)
Carrefour,Vino tinto malbec Bianchi 750 cc.,($734.67 x 1 L.)
Carrefour,Vino tinto dulce Santa Julia 750 cc.,($742.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Alchimia 750 cc.,($746.67 x 1 L.)
Carrefour,Vino tinto malbec Alma Mora 750 cc.,($752.67 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Alma Mora 750 cc.,($752.67 x 1 L.)
Carrefour,Vino tinto syrah Alma Mora 750 cc.,($752.67 x 1 L.)
Carrefour,Vino tinto malbec Estiba I 750 cc.,($754.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Estiba I 750 cc.,($754.00 x 1 L.)
Carrefour,Vino tinto syrah Estiba I 750 cc.,($754.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Bianchi d.o.c. 750 cc.,($756.99 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Emilia 750 cc.,($761.33 x 1 L.)
Carrefour,Vino tinto Dante Robino malbec nave 750 cc.,($777.33 x 1 L.)
Carrefour,Vino tinto Dante Robino blend de tintas nave 750 cc.,($777.33 x 1 L.)
Carrefour,Vino tinto Santa Julia malbec 750 cc.,($784.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Newen reservado 750 cc.,($785.33 x 1 L.)
Carrefour,Vino tinto malbec Altos del Plata Terrazas 750 cc.,($800.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Altos del Plata 750 cc.,($800.00 x 1 L.)
Carrefour,Vino tinto syrah Altos del Plata 750 cc.,($800.00 x 1 L.)
Carrefour,Vino tinto merlot Altos del Plata 750 cc.,($800.00 x 1 L.)
Carrefour,Vino tinto Dante Robino cabernet sauvignon nave 750 cc.,($832.00 x 1 L.)
Carrefour,Vino tinto cabernet reserva Canciller 750 cc.,($834.67 x 1 L.)
Carrefour,Vino tinto malbec tempr Dadá incrediblends 2 750 cc.,($835.33 x 1 L.)
Carrefour,Vino tinto malbec sangi Dadá incrediblends 3 750 cc.,($835.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Norton barrel select 750 cc.,($852.00 x 1 L.)
Carrefour,Vino tinto malbec cabernet Dadá incrediblends 1 750 cc.,($854.00 x 1 L.)
Carrefour,Vino tinto syrah/garn La Gran Nacha 750 cc.,($861.33 x 1 L.)
Carrefour,Vino tinto Santa Julia malbec orgánico 750 cc.,($869.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Graffigna Centenario 750 cc.,($870.67 x 1 L.)
Carrefour,Vino tinto dulce Santa Julia lata 269 cc.,($903.35 x 1 L.)
Carrefour,Vino tintillo Santa Julia lata 269 cc.,($903.35 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Pacheco Pereda estirpe 750 cc.,($906.40 x 1 L.)
Carrefour,Vino tinto malbec Pacheco Pereda estirpe 750 cc.,($906.40 x 1 L.)
Carrefour,Vino tinto malbec Uxmal 750 cc.,($918.67 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Uxmal 750 cc.,($918.67 x 1 L.)
Carrefour,Vino tinto malbec Los Haroldos reserva 750 cc.,($932.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Los Haroldos reserva 750 cc.,($932.00 x 1 L.)
Carrefour,Vino tinto malbec Fuzion 750 cc.,($940.00 x 1 L.)
Carrefour,Vino tinto red blend Fuzion 750 cc.,($940.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Fuzion 750 cc.,($940.00 x 1 L.)
Carrefour,Vino tinto malbec Domaine Bousquet premium 750 cc.,($949.33 x 1 L.)
Carrefour,Vino tinto cabernet Domaine Bousquet premium 750 cc.,($949.33 x 1 L.)
Carrefour,Vino tinto Las Perdices malbec caja 3 l.,($950.00 x 1 L.)
Carrefour,Vino tinto malbec Dante Robino 750 cc,($968.67 x 1 L.)
Carrefour,Vino tinto Dante Robino cabernet sauvignon 750 cc.,($968.67 x 1 L.)
Carrefour,Vino tinto malbec Killka 750 cc.,($973.33 x 1 L.)
Carrefour,Vino tinto blend Salentein Killka 750 cc.,($973.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Killka 750 cc.,($973.33 x 1 L.)
Carrefour,Vino tinto Contracara blend 750 cc.,($973.33 x 1 L.)
Carrefour,Vino tinto Contracara malbec 750 cc.,($973.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Barcelona reserva 750 cc.,($980.67 x 1 L.)
Carrefour,Vino tinto Garbo cabernet sauvignon 750 cc.,($984.67 x 1 L.)
Carrefour,Vino tinto cabernet Domaine Bousquet virgen 750 cc.,($997.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Santa julia reserva 750 cc.,($1013.33 x 1 L.)
Carrefour,Vino tinto malbec Alma Mora reserva 750 cc.,($1016.00 x 1 L.)
Carrefour,Vino tinto reserva blend Alma Mora 750 cc.,($1016.00 x 1 L.)
Carrefour,Vino tinto cabernet reserva Estancia Mendoza 750 cc.,($1016.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Nieto senetiner 750 cc.,($1022.67 x 1 L.)
Carrefour,Vino tinto cabernet franc orgánico Artesano 750 cc.,($1027.33 x 1 L.)
Carrefour,Vino tinto malbec Viniterra 750 cc.,($1035.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Viniterra 750 cc.,($1035.33 x 1 L.)
Carrefour,Vino tinto tintillo Santa Julia 750 cc.,($1042.00 x 1 L.)
Carrefour,Vino tinto malbec Navarro Correas colección privada 750 cc.,($1049.33 x 1 L.)
Carrefour,Vino tinto red blend Familia Bianchi 750 cc.,($1072.00 x 1 L.)
Carrefour,Vino tinto tannat Don David 750 cc.,($1089.33 x 1 L.)
Carrefour,Vino tinto malbec Amalaya gran corte 750 cc.,($1929.33 x 1 L.)
Carrefour,Vino tinto blend Nina gold 750 cc.,($1110.27 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Del Fin del Mundo reserva 750 cc.,($1132.00 x 1 L.)
Carrefour,Vino tinto red blend Esmeralda 750 cc.,($1132.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Esmeralda 750 cc.,($1132.00 x 1 L.)
Carrefour,Vino tinto malbec Fond de Cave 750 cc.,($1134.67 x 1 L.)
Carrefour,Vino tinto syrah Fond de Cave 750 cc.,($1134.67 x 1 L.)
Carrefour,Vino tinto malbec Trapiche reserva 750 cc.,($1136.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Trapiche reserva 750 cc.,($1136.00 x 1 L.)
Carrefour,Vino tinto malbec Nieto senetiner 750 cc.,($1169.33 x 1 L.)
Carrefour,Vino tinto blend Ruca Malen 750 cc.,($1169.33 x 1 L.)
Carrefour,Vino tinto merlot Nieto Senetiner 750 cc.,($1169.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Crios 750 cc.,($1180.00 x 1 L.)
Carrefour,Vino tinto Alchimia cabernet sauvignon reserva 750 cc.,($1193.33 x 1 L.)
Carrefour,Vino tinto malbec Casa petrini 750 cc.,($1228.00 x 1 L.)
Carrefour,Vino tinto Altos Las Hormigas malbec 750 cc.,($1264.00 x 1 L.)
Carrefour,Vino tinto malbec Amalaya 750 cc.,($1265.33 x 1 L.)
Carrefour,Vino tinto malbec-roble Terravita orgánico 750 cc.,($1267.33 x 1 L.)
Carrefour,Vino tinto Texto súbito malbec cabernet franc 750 cc.,($1292.67 x 1 L.)
Carrefour,Vino tinto Texto súbito cabernet sauvignon 750 cc.,($1292.67 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Puro 750 cc.,($1314.67 x 1 L.)
Carrefour,Vino tinto Casillero del Diablo red blend 750 cc.,($1376.00 x 1 L.)
Carrefour,Vino tinto Casillero del Diablo malbec 750 cc.,($1376.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Norton 750 cc.,($1401.33 x 1 L.)
Carrefour,Vino tinto malbec Séptima obra 750 cc.,($1425.33 x 1 L.)
Carrefour,Vino tinto Septima cabernet franc obra 750 cc.,($1425.33 x 1 L.)
Carrefour,Vino tinto malbec Terrazas de los Andes reserva 750 cc.,($1466.67 x 1 L.)
Carrefour,Vino tinto cabernet franc Terrazas 750 cc.,($1466.67 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Terrazas de los Andes reserva 750 cc.,($1466.67 x 1 L.)
Carrefour,Vino tinto syrah Terrazas de los Andes reserva 750 cc.,($1466.67 x 1 L.)
Carrefour,Vino tinto malbec rose Terrazas 750 cc.,($1466.67 x 1 L.)
Carrefour,Vino tinto merlot Terrazas reserva 750 cc.,($1466.67 x 1 L.)
Carrefour,Vino tinto malbec Trapiche Impuro 750 cc.,($1484.00 x 1 L.)
Carrefour,Vino tinto malbec Trapiche Puro 750 cc.,($1484.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Los Intocables black 750 cc.,($1484.00 x 1 L.)
Carrefour,Vino tinto red blend Los Intocables 750 cc.,($1486.67 x 1 L.)
Carrefour,Vino tinto malbec Famiglia Bianchi 750 cc.,($1572.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Famiglia Bianchi 750 cc.,($1572.00 x 1 L.)
Carrefour,Vino tinto malbec selección Álamos 750 cc.,($1577.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Alamos selección de viñedos 750 cc.,($1577.33 x 1 L.)
Carrefour,Vino tinto red blend Álamos 750 cc.,($1577.33 x 1 L.)
Carrefour,Vino tinto malbec Fond de Cave reserva 750 cc.,($1657.33 x 1 L.)
Carrefour,Vino tinto malbec Don David reserva 750 cc.,($1657.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Fond de Cave reserva 750 cc.,($1657.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Salentein reserva 750 cc.,($1736.00 x 1 L.)
Carrefour,Vino tinto merlot Salentein reserva 750 cc.,($1736.00 x 1 L.)
Carrefour,Vino tinto malbec Luigi Bosca 750 cc.,($1760.00 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Luigi Bosca 750 cc.,($1760.00 x 1 L.)
Carrefour,Vino tinto malbec Escorihuela Gascón 750 cc.,($1800.00 x 1 L.)
Carrefour,Vino tinto cabernet franc Escorihuela Gascón 750 cc.,($1800.00 x 1 L.)
Carrefour,Vino tinto malbec Pyros 750 cc.,($1826.67 x 1 L.)
Carrefour,Vino tinto Los Helechos cabernet reserva 750 cc.,($1846.67 x 1 L.)
Carrefour,Vino tinto malbec cabernet franc fabre HJ 750 cc.,($1866.67 x 1 L.)
Carrefour,Vino tinto malbec merlot fabre HJ 750 cc.,($1866.67 x 1 L.)
Carrefour,Vino tinto malbec reserva Álamos 750 cc.,($1893.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Don Nicanor Nieto Senetiner 750 cc.,($1922.67 x 1 L.)
Carrefour,Vino tinto malbec El Esteco blend de ext 750 cc.,($1968.00 x 1 L.)
Carrefour,Vino tinto cabernet El Esteco blend de ext 750 cc.,($1968.00 x 1 L.)
Carrefour,Vino tinto Hj malbec rose fabre 750 cc.,($2022.67 x 1 L.)
Carrefour,Vino tinto Montchenot gran reserva 5 años 750 cc.,($2069.33 x 1 L.)
Carrefour,Vino tinto blend Los Haroldos gran corte 750 cc.,($2076.00 x 1 L.)
Carrefour,Vino tinto malbec Salentein 375 cc.,($2084.00 x 1 L.)
Carrefour,Vino tinto cabernet franc Nicasia 750 cc.,($2266.67 x 1 L.)
Carrefour,Vino tinto malbec red blend Nicasia 750 cc.,($2266.67 x 1 L.)
Carrefour,Vino tinto malbec Malamado 750 cc.,($2354.67 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Encuentro 750 cc.,($2425.33 x 1 L.)
Carrefour,Vino tinto FC Barcelona premium malbec 750 cc.,($2485.33 x 1 L.)
Carrefour,Vino tinto Los Helechos cabernet 750 cc.,($2508.00 x 1 L.)
Carrefour,Vino tinto malbec Saint Felicien 750 cc.,($2545.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Saint Felicien 750 cc.,($2545.33 x 1 L.)
Carrefour,Vino tinto malbec Fabre Montmayou 750 cc.,($2573.33 x 1 L.)
Carrefour,Vino tinto cabernet franc Fabre Montmayou 750 cc.,($2573.33 x 1 L.)
Carrefour,Vino tinto malbec Escorihuela Gascón gran reserva 750 cc.,($2640.00 x 1 L.)
Carrefour,Vino tinto cabernet franc Salentein Numina 750 cc.,($2666.67 x 1 L.)
Carrefour,Vino tinto cabernet merlot Rutini 750 cc.,($2933.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Fond de Cave Gran Reserva 750 cc.,($2941.33 x 1 L.)
Carrefour,Vino tinto malbec Malamado 187 cc.,($2975.94 x 1 L.)
Carrefour,Vino tinto Trivento cabernet sauvignon golden 750 cc.,($3261.33 x 1 L.)
Carrefour,Vino tinto malbec Zuccardi Q 750 cc.,($3425.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon Zuccardi Q 750 cc.,($3425.33 x 1 L.)
Carrefour,Vino fino de sangre Luigi Bosca 750 cc.,($3520.00 x 1 L.)
Carrefour,Vino tinto malbec Luigi Bosca d.o.c. 750 cc.,($3520.00 x 1 L.)
Carrefour,Vino tinto Susana Balbo cabernet sauvignon 750 cc.,($3796.00 x 1 L.)
Carrefour,Vino tinto numina Salentein 750 cc.,($3892.00 x 1 L.)
Carrefour,Vino tinto Trivento cabernet franc golden 7500 cc.,($3952.00 x 1 L.)
Carrefour,Vino tinto malbec El Enemigo 750 cc.,($4609.33 x 1 L.)
Carrefour,Vino tinto Ruca Malen cabernet kinien 750 cc.,($4874.67 x 1 L.)
Carrefour,Vino tinto Del Fin Del Mundo special blend 750 cc.,($5185.33 x 1 L.)
Carrefour,Vino tinto malbec Rutini 750 cc.,($5200.00 x 1 L.)
Carrefour,Vino tinto Escorihuela Gascon cabernet uke mapu 750 cc.,($5200.00 x 1 L.)
Carrefour,Vino tinto malbec D.V.Catena 750 cc.,($5461.33 x 1 L.)
Carrefour,Vino tinto cabernet sauvignon D.V.Catena 750 cc.,($5614.67 x 1 L.)
Carrefour,Vino tinto Chateau Vieux 750 cc.
Carrefour,Vino tinto Rincon Famoso 750 cc.
Carrefour,Vino tinto Las Perdices malbec chac chac 750 cc.
Carrefour,Vino tinto Las Perdices malbec botella 750 cc.
Carrefour,Vino tinto Las Perdices malbec partridge botella 750 cc.
Carrefour,Vino tinto Las Perdices cabernet franc 750 cc.
Carrefour,Vino tinto Las Perdices malbec reserva 750 cc.
Carrefour,Vino tinto Las Perdices red blend botella 750 cc.
Carrefour,Vino tinto Las Perdices cabernet sauvignon reserva 750 cc.
Carrefour,Vino tinto Las Perdices cabernet franc ala colorada 750 cc.
Carrefour,Vino tinto Galan patero botella 1.125 l.
Carrefour,Vino tinto Las Perdices malbec exp gualtallary 750 cc.
Carrefour,Vino tinto Galan clásico botella 1.125 l.
Carrefour,Vino tinto Galan malbec roble botella 750 cc.
Carrefour,Vino tinto Las Perdices cabernet sauvignon 750 cc.
Supermercado,Vinos blancos - Carefour,Precio
Carrefour,Vino blanco sauvignon blanco Séptima 750 cc.,($878.67 x 1 L.)
Carrefour,Vino blanco Valmont 750 cc.,($550.67 x 1 L.)
Carrefour,Vino blanco chardonnay Séptima 750 cc.,($878.67 x 1 L.)
Carrefour,Vino blanco Zumuva común 1 l.,($184.00 x 1 L.)
Carrefour,Bebida alcohólica Vin Up a base de vino blanco 1 l.,($117.17 x 1 L.)
Carrefour,Vino blanco dulce Uvita 1 l.,($143.45 x 1 L.)
Carrefour,Vino blanco Uvita 1 l.,($143.45 x 1 L.)
Carrefour,Vino blanco Santa Ana selección especial 700 cc.,($149.73 x 1 L.)
Carrefour,Vino blanco tetra flex afa cadenas Toro 1 l.,($175.80 x 1 L.)
Carrefour,Vino blanco Pico de Oro 1 l.,($176.55 x 1 L.)
Carrefour,Vino blanco Pico de Oro dulce brik 1 l.,($197.95 x 1 L.)
Carrefour,Vino blanco Concilio brick 1 l.,($202.00 x 1 L.)
Carrefour,Vino blanco dulce Toro brick 1 l.,($227.00 x 1 L.)
Carrefour,Vino blanco Moutier 1125 cc.,($280.00 x 1 L.)
Carrefour,Vino blanco Cuesta Del Madero 750 cc.,($286.67 x 1 L.)
Carrefour,Vino blanco Viñas de Alvear 1.125 l.,($292.44 x 1 L.)
Carrefour,Vino blanco Famiglia Bianchi white blend 750 cc.,($1072.00 x 1 L.)
Carrefour,Vino blanco chardonnay Esmeralda 750 cc.,($1132.00 x 1 L.)
Carrefour,Vino blanco chardonnay Nieto senetiner 750 cc.,($1169.33 x 1 L.)
Carrefour,Vino blanco torrontés Terrazas reserva 750 cc.,($1466.67 x 1 L.)
Carrefour,Vino blanco chardonnay Bianchi 750 cc.,($1572.00 x 1 L.)
Carrefour,Vino blanco chardonnay Casa Petrini lecho de río 750 cc.,($1578.67 x 1 L.)
Carrefour,Vino blanco chardonnay Trumpeter 750 cc.,($1673.33 x 1 L.)
Carrefour,Vino blend brazos de los andes Zuccardi 750 cc.,($1784.00 x 1 L.)
Carrefour,Vino blanco chardonnay viognier Zuccardi serie a 750 cc.,($1896.00 x 1 L.)
Carrefour,Vino blanco blend de blanc Nicasia 750 cc.,($2266.67 x 1 L.)
Carrefour,Vino blanco chardonnay Fabre Montmayou 750 cc.,($2573.33 x 1 L.)
Carrefour,Vino blanco white blend Luigi Bosca 750 cc.,($2933.33 x 1 L.)
Carrefour,Vino blanco Trivento chardonnay golden 750 cc.,($3352.00 x 1 L.)
Carrefour,Vino blanco chardonnay Rutini 750 cc.,($3685.33 x 1 L.)
Carrefour,Vino blend talud Casa Petrini 750 cc.,($3766.67 x 1 L.)
Carrefour,Vino fino blanco Rincon Famoso 750 cc.
Carrefour,Vino fino blanco Lopez selección 750 cc.
Carrefour,Vino blanco Las Perdices chardonnay viognier partridge 750 cc.
Carrefour,Vino blanco Las Perdices albarino botella 750 cc.
Carrefour,Vino blanco Escorihuela Gascon chardonnay uke mapu 750 cc.
Carrefour,Vino blanco Las Perdices sauvignon blanc 750 cc.
Supermercado,Vinos rosados - Carefour,Precio
Carrefour,Vino rosado Pico de Oro 1 l.,($198.45 x 1 L.)
